countryCode,thematicIdIdentifier,thematicIdIdentifierScheme,monitoringSiteIdentifier,monitoringSiteIdentifierScheme,monitoringSiteName,waterBodyIdentifier,waterBodyIdentifierScheme,waterBodyName,specialisedZoneType,surfaceWaterBodyTypeCode,rbdIdentifier,rbdIdentifierScheme,confidentialityStatus,lat,lon,cArea
FR,FR03029710,eionetMonitoringSiteCode,FR03029710,eionetMonitoringSiteCode,ARMEAU,FRHR70A,euSurfaceWaterBodyCode,L YONNE DU CONFLUENT DE L ARMANCON  EXCLU  AU CONFLUENT DE LA SEINE  EXCLU,riverWaterBody,G9/10,FRH,euRBDCode,F,48.0488,3.3116,94.27
FR,FRGR04115675,euMonitoringSiteCode,FRGR04115675,euMonitoringSiteCode,CORBIONNE À BRETONCELLES,FRGR0475,euSurfaceWaterBodyCode,LA CORBIONNE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'HUISNE,riverWaterBody,P9,FRG,euRBDCode,F,48.40385,0.87107,94.132
FR,FR03025000,eionetMonitoringSiteCode,FR03025000,eionetMonitoringSiteCode,CLAMECY,FRHR502,euSurfaceWaterBodyCode,CANAL DU NIVERNAIS,riverWaterBody,P9,FRH,euRBDCode,F,47.4594,3.52296,94.015
FR,FRHR03034720,euMonitoringSiteCode,FRHR03034720,euMonitoringSiteCode,LE SEREIN A VIEUX-CHATEAU 2,FRHR57,euSurfaceWaterBodyCode,LE SEREIN DE SA SOURCE AU CONFLUENT DU RUISSEAU DE LA GOUTTE  INCLUS,riverWaterBody,P10,FRH,euRBDCode,F,47.46607,4.12837,93.962
FR,FR03034370,eionetMonitoringSiteCode,FR03034370,eionetMonitoringSiteCode,VIC SOUS THIL,FRHR57,euSurfaceWaterBodyCode,LE SEREIN DE SA SOURCE AU CONFLUENT DU RUISSEAU DE LA GOUTTE  INCLUS,riverWaterBody,P10,FRH,euRBDCode,F,47.3445,4.30874,93.962
FR,FR04110800,eionetMonitoringSiteCode,FR04110800,eionetMonitoringSiteCode,SARTHE A CHASSE,FRGR0455A,euSurfaceWaterBodyCode,LA SARTHE DEPUIS LA CONFLUENCE DE L'HOENE JUSQU'A ALENCON,riverWaterBody,M9,FRG,euRBDCode,F,48.4638,0.19493,93.03
FR,FRGR04111000,euMonitoringSiteCode,FRGR04111000,euMonitoringSiteCode,SARTHE À ALENCON,FRGR0455A,euSurfaceWaterBodyCode,LA SARTHE DEPUIS LA CONFLUENCE DE L'HOENE JUSQU'A ALENCON,riverWaterBody,M9,FRG,euRBDCode,F,48.4353,0.11582,93.03
FR,FRB2R01004000,euMonitoringSiteCode,FRB2R01004000,euMonitoringSiteCode,LA SAMBRE CANALISÉE À JEUMONT (59),FRB2R46,euSurfaceWaterBodyCode,SAMBRE,riverWaterBody,GM22,FRB2,euRBDCode,F,50.29789,4.10222,92.874
FR,FR01002000,eionetMonitoringSiteCode,FR01002000,eionetMonitoringSiteCode,LA SAMBRE CANALISEE A PONT-SUR-SAMBRE 59,FRB2R46,euSurfaceWaterBodyCode,SAMBRE,riverWaterBody,GM22,FRB2,euRBDCode,F,50.2272,3.85099,92.874
FR,FRDR06005500,euMonitoringSiteCode,FRDR06005500,euMonitoringSiteCode,SAONE A APREMONT,FRDR1806B,euSurfaceWaterBodyCode,LA SAONE DU SALON A LA DEVIATION DE SEURRE,riverWaterBody,TG10-15/4,FRD,euRBDCode,F,47.39572,5.54409,92.567
FR,FRDR06011000,euMonitoringSiteCode,FRDR06011000,euMonitoringSiteCode,SAONE A AUXONNE,FRDR1806B,euSurfaceWaterBodyCode,LA SAONE DU SALON A LA DEVIATION DE SEURRE,riverWaterBody,TG10-15/4,FRD,euRBDCode,F,47.19452,5.38257,92.567
FR,FRGR04028800,euMonitoringSiteCode,FRGR04028800,euMonitoringSiteCode,SIANNE À AURIAC-L'EGLISE,FRGR0252,euSurfaceWaterBodyCode,LA SIANNE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'ALAGNON,riverWaterBody,P3,FRG,euRBDCode,F,45.26573,3.12885,92.223
FR,FRGR04108530,euMonitoringSiteCode,FRGR04108530,euMonitoringSiteCode,FARE À VILLIERS-AU-BOUIN,FRGR1039,euSurfaceWaterBodyCode,LA FARE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC LE LOIR,riverWaterBody,TP9,FRG,euRBDCode,F,47.58792,0.32245,92.093
FR,FRFR05220950,euMonitoringSiteCode,FRFR05220950,euMonitoringSiteCode,AMOU-FRANCE,FRFR241,euSurfaceWaterBodyCode,LE LUY DE FRANCE DE SA SOURCE AU CONFLUENT DU LUY DE BEARN,riverWaterBody,P14,FRF,euRBDCode,F,43.61543,-0.71428,92.083
FR,FRFR05221600,euMonitoringSiteCode,FRFR05221600,euMonitoringSiteCode,PISSEU,FRFR241,euSurfaceWaterBodyCode,LE LUY DE FRANCE DE SA SOURCE AU CONFLUENT DU LUY DE BEARN,riverWaterBody,P14,FRF,euRBDCode,F,43.40417,-0.28403,92.083
FR,FRGR04043800,euMonitoringSiteCode,FRGR04043800,euMonitoringSiteCode,QUEUNE À SOUVIGNY,FRGR0284,euSurfaceWaterBodyCode,LA QUEUNE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'ALLIER,riverWaterBody,P21,FRG,euRBDCode,F,46.536,3.21125,91.525
FR,FRDR06031400,euMonitoringSiteCode,FRDR06031400,euMonitoringSiteCode,LOUE A MOUTHIER HAUTE PIERRE,FRDR619,euSurfaceWaterBodyCode,LA LOUE DE SA SOURCE A ARC-ET-SENANS,riverWaterBody,M5,FRD,euRBDCode,F,47.03731,6.27527,91.062
FR,FRGR04003500,euMonitoringSiteCode,FRGR04003500,euMonitoringSiteCode,LIGNON-DU-VELAY À SAINT-MAURICE-DE-LIGNON,FRGR0161C,euSurfaceWaterBodyCode,LE LIGNON-DU-VELAY ET SES AFFLUENTS DU COMPLEXE DE LAVALETTE JUSQU'A LA CONFLUENCE AVEC LA LOIRE,riverWaterBody,P3,FRG,euRBDCode,F,45.25665,4.1507,90.985
FR,FRHR03227296,euMonitoringSiteCode,FRHR03227296,euMonitoringSiteCode,LE PRE D'AUGE A MANERBE 1,FRHR277-I0320600,euSurfaceWaterBodyCode,RUISSEAU DU PRE D AUGE,riverWaterBody,TP9,FRH,euRBDCode,F,49.17607,0.17091,9.96
FR,FRDR06072400,euMonitoringSiteCode,FRDR06072400,euMonitoringSiteCode,RHONE A RUFFIEUX,FRDR2001A,euSurfaceWaterBodyCode,RHONE DE CHAUTAGNE,riverWaterBody,TTGA,FRD,euRBDCode,F,45.85396,5.80582,9.918
FR,FR05200000,eionetMonitoringSiteCode,FR05200000,eionetMonitoringSiteCode,AGUERREA,FRFR271C,euSurfaceWaterBodyCode,LA NIVE DU CONFLUENT DE LA NIVE D'ARNEGUY AU CONFLUENT DE LA NIVE DES ALDUDES,riverWaterBody,M1,FRF,euRBDCode,F,43.173,-1.25059,9.899
FR,FRFR05101000,euMonitoringSiteCode,FRFR05101000,euMonitoringSiteCode,MORIES,FRFR124A,euSurfaceWaterBodyCode,LA COLAGNE DU CONFLUENT DU COULAGNET AU CONFLUENT DU LOT,riverWaterBody,P3,FRF,euRBDCode,F,44.4908,3.24607,9.846
FR,FRHR03231000,euMonitoringSiteCode,FRHR03231000,euMonitoringSiteCode,LA DIVES A SAINT-SAMSON 1,FRHR289A,euSurfaceWaterBodyCode,LA DIVES DU SIPHON DU CANAL DU DOMAINE  A LA CONFLUENCE AVEC LA VIE,riverWaterBody,M9,FRH,euRBDCode,F,49.18314,-0.1637,9.814
FR,FRDR06456610,euMonitoringSiteCode,FRDR06456610,euMonitoringSiteCode,BOURBEUSE A FROIDEFONTAINE,FRDR631,euSurfaceWaterBodyCode,LA BOURBEUSE,riverWaterBody,M18/4,FRD,euRBDCode,F,47.56633,6.94314,9.676
FR,FR05068000,eionetMonitoringSiteCode,FR05068000,eionetMonitoringSiteCode,BASTEYROUX,FRFR83A,euSurfaceWaterBodyCode,LA MARONNE DU BARRAGE DE HAUTEFAGE AU CONFLUENT DE LA DORDOGNE,riverWaterBody,M3,FRF,euRBDCode,F,45.0826,1.94733,9.614
FR,FRFR05067950,euMonitoringSiteCode,FRFR05067950,euMonitoringSiteCode,L'HOPITAL,FRFR83A,euSurfaceWaterBodyCode,LA MARONNE DU BARRAGE DE HAUTEFAGE AU CONFLUENT DE LA DORDOGNE,riverWaterBody,M3,FRF,euRBDCode,F,45.07158,1.93972,9.614
FR,FRFR05201400,euMonitoringSiteCode,FRFR05201400,euMonitoringSiteCode,PEYREHORADE,FRFR777,euSurfaceWaterBodyCode,LES GAVES REUNIS (DE PAU) DU CONFLUENT DU GAVE D'OLORON AU CONFLUENT DE L'ADOUR,riverWaterBody,G14/1,FRF,euRBDCode,F,43.54316,-1.10503,9.405
FR,FRB1R02122200,euMonitoringSiteCode,FRB1R02122200,euMonitoringSiteCode,L'ALYSE À FUMAY,FRB1R595,euSurfaceWaterBodyCode,ALYSE,riverWaterBody,TP22,FRB1,euRBDCode,F,49.99648,4.68441,9.197
FR,FRCR02001000,euMonitoringSiteCode,FRCR02001000,euMonitoringSiteCode,L'AUGRABEN À BARTENHEIM,FRCR26,euSurfaceWaterBodyCode,AUGRABEN 2,riverWaterBody,TP18,FRC,euRBDCode,F,47.63879,7.51439,9.173
FR,FRFR05232350,euMonitoringSiteCode,FRFR05232350,euMonitoringSiteCode,BALEIX,FRFRR238_1,euSurfaceWaterBodyCode,LE LEES,riverWaterBody,TP14,FRF,euRBDCode,F,43.37718,-0.1157,9.169
FR,FRDR06193700,euMonitoringSiteCode,FRDR06193700,euMonitoringSiteCode,VISTRE A SAINT LAURENT D AIGOUZE,FRDR1901,euSurfaceWaterBodyCode,LE VISTRE CANAL,riverWaterBody,TP6,FRD,euRBDCode,F,43.60716,4.2137,9.125
FR,FRGLL011520,euMonitoringSiteCode,FRGLL011520,euMonitoringSiteCode,RETENUE DE VASSIVIERE,FRGL034,euSurfaceWaterBodyCode,RETENUE DE VASSIVIERE,lakeWaterBody,A5,FRG,euRBDCode,F,45.81163,1.85567,9.086
FR,FRDR06142687,euMonitoringSiteCode,FRDR06142687,euMonitoringSiteCode,JONCHE A LA MURE,FRDR1141B,euSurfaceWaterBodyCode,LA JONCHE AVAL APRES LA CONFLUENCE AVEC L EXUTOIRE DE L ETANG DE CREY,riverWaterBody,TP5,FRD,euRBDCode,F,44.90077,5.78094,9.052
FR,FRFR05172350,euMonitoringSiteCode,FRFR05172350,euMonitoringSiteCode,SEMIS,FRFRR169_3,euSurfaceWaterBodyCode,RUISSEAU DE ROQUES,riverWaterBody,TP1,FRF,euRBDCode,F,42.91899,1.50032,9.005
FR,FR04156450,eionetMonitoringSiteCode,FR04156450,eionetMonitoringSiteCode,NON DEFINI LE MOULIN MILLET,FRGR0586,euSurfaceWaterBodyCode,LA MERE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'AU COMPLEXE DE MERVENT,riverWaterBody,P12-A,FRG,euRBDCode,F,46.6622,-0.68707,89.588
FR,FRHR03108098,euMonitoringSiteCode,FRHR03108098,euMonitoringSiteCode,LA MARNE A AZY-SUR-MARNE 1,FRHR137,euSurfaceWaterBodyCode,LA MARNE DU CONFLUENT DE LA SEMOIGNE  EXCLU  AU CONFLUENT DE L OURQ  EXCLU,riverWaterBody,G9,FRH,euRBDCode,F,49.00007,3.36895,89.521
FR,FRHR03109000,euMonitoringSiteCode,FRHR03109000,euMonitoringSiteCode,LA MARNE A LA FERTE-SOUS-JOUARRE 1,FRHR137,euSurfaceWaterBodyCode,LA MARNE DU CONFLUENT DE LA SEMOIGNE  EXCLU  AU CONFLUENT DE L OURQ  EXCLU,riverWaterBody,G9,FRH,euRBDCode,F,48.94462,3.12534,89.521
FR,FRGR04050000,euMonitoringSiteCode,FRGR04050000,euMonitoringSiteCode,LOIRE À JARGEAU,FRGR0007B,euSurfaceWaterBodyCode,LA LOIRE DEPUIS GIEN JUSQU'A SAINT-DENIS-EN-VAL,riverWaterBody,TTGL,FRG,euRBDCode,F,47.86977,2.12301,89.457
FR,FRHR03118000,euMonitoringSiteCode,FRHR03118000,euMonitoringSiteCode,LE GRAND MORIN A POMMEUSE 1,FRHR149,euSurfaceWaterBodyCode,LE GRAND MORIN DE SA SOURCE AU CONFLUENT DE L AUBETIN  EXCLU,riverWaterBody,P9,FRH,euRBDCode,F,48.81775,3.01332,89.357
FR,FRHR03116720,euMonitoringSiteCode,FRHR03116720,euMonitoringSiteCode,LE GRAND MORIN A VILLENEUVE-LA-LIONNE 1,FRHR149,euSurfaceWaterBodyCode,LE GRAND MORIN DE SA SOURCE AU CONFLUENT DE L AUBETIN  EXCLU,riverWaterBody,P9,FRH,euRBDCode,F,48.783,3.44478,89.357
FR,FRDR06128720,euMonitoringSiteCode,FRDR06128720,euMonitoringSiteCode,GARDON SE ST JEAN A THOIRAS,FRDR382B,euSurfaceWaterBodyCode,LE GARD DE SA SOURCE AU GARDON DE SAINT JEAN INCLUS,riverWaterBody,PTP8,FRD,euRBDCode,F,44.07509,3.96221,88.477
FR,FR01097500,eionetMonitoringSiteCode,FR01097500,eionetMonitoringSiteCode,LA CREQUOISE A BEAURAINVILLE 62,FRAR13,euSurfaceWaterBodyCode,CANCHE,riverWaterBody,M9-A,FRA,euRBDCode,F,50.4304,1.90652,88.145
FR,FRAR01094000,euMonitoringSiteCode,FRAR01094000,euMonitoringSiteCode,LA CANCHE À AUBIN SAINT VAAST (62),FRAR13,euSurfaceWaterBodyCode,CANCHE,riverWaterBody,M9-A,FRA,euRBDCode,F,50.40012,1.97602,88.145
FR,FR02094990,eionetMonitoringSiteCode,FR02094990,eionetMonitoringSiteCode,LA SARRE-ROUGE A NITTING,FRCR411,euSurfaceWaterBodyCode,SARRE 1,riverWaterBody,TP4,FRC,euRBDCode,F,48.64,7.06422,87.599
FR,FRCR02094970,euMonitoringSiteCode,FRCR02094970,euMonitoringSiteCode,LA SARRE BLANCHE À TURQUESTEIN-BLANCRUPT,FRCR411,euSurfaceWaterBodyCode,SARRE 1,riverWaterBody,TP4,FRC,euRBDCode,F,48.54784,7.12669,87.599
FR,FRGR04053320,euMonitoringSiteCode,FRGR04053320,euMonitoringSiteCode,MASSE OU AMASSE À SOUVIGNY-DE-TOURAINE,FRGR2222,euSurfaceWaterBodyCode,L'AMASSE ET SES AFFLUENTS DEPUIS L'ETANG DE SUDAIS JUSQU'A LA CONFLUENCE AVEC LA LOIRE,riverWaterBody,TP9,FRG,euRBDCode,F,47.41426,1.08225,87.016
FR,FRGR04200595,euMonitoringSiteCode,FRGR04200595,euMonitoringSiteCode,VILAINE À BOURGON,FRGR0008A,euSurfaceWaterBodyCode,LA VILAINE ET SES AFFLUENTS DEPUIS JUVIGNE JUSQU'A LA RETENUE DE LA CHAPELLE-ERBREE,riverWaterBody,P12-B,FRG,euRBDCode,F,48.18658,-1.05846,86.826
FR,FRFR05105000,euMonitoringSiteCode,FRFR05105000,euMonitoringSiteCode,CAUDEROUE,FRFR221,euSurfaceWaterBodyCode,LA GELISE DU BARRAGE DE CANDAU AU CONFLUENT DE LA BAISE,riverWaterBody,GM14,FRF,euRBDCode,F,44.13649,0.29322,86.291
FR,FRFR05106850,euMonitoringSiteCode,FRFR05106850,euMonitoringSiteCode,PIBEQUE,FRFR221,euSurfaceWaterBodyCode,LA GELISE DU BARRAGE DE CANDAU AU CONFLUENT DE LA BAISE,riverWaterBody,GM14,FRF,euRBDCode,F,43.97499,0.06868,86.291
FR,FRGR04175100,euMonitoringSiteCode,FRGR04175100,euMonitoringSiteCode,ABER WRAC'H À LANARVILY,FRGR0062,euSurfaceWaterBodyCode,L'ABER-VRAC'H ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A L'ESTUAIRE,riverWaterBody,P12-B,FRG,euRBDCode,F,48.54997,-4.38949,86.263
FR,FRGR04167815,euMonitoringSiteCode,FRGR04167815,euMonitoringSiteCode,GOUESSANT À SAINT-GLEN,FRGR0038A,euSurfaceWaterBodyCode,LE GOUESSANT ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LAMBALLE,riverWaterBody,P12-B,FRG,euRBDCode,F,48.35931,-2.52855,86.167
FR,FRGR04100980,euMonitoringSiteCode,FRGR04100980,euMonitoringSiteCode,DOLO À SAINT-AUBIN-DU-PLAIN,FRGR0444,euSurfaceWaterBodyCode,LE TON (EX DOLO) ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC L'ARGENTON,riverWaterBody,P12-A,FRG,euRBDCode,F,46.90499,-0.49136,86.133
FR,FRGR04067350,euMonitoringSiteCode,FRGR04067350,euMonitoringSiteCode,ARNON À POISIEUX,FRGR0334A,euSurfaceWaterBodyCode,L'ARNON DEPUIS LA CONFLUENCE DE LA SINAISE JUSQU'A LA CONFLUENCE AVEC LA THEOLS,riverWaterBody,M9,FRG,euRBDCode,F,47.02717,2.06639,85.862
FR,FRGR04160100,euMonitoringSiteCode,FRGR04160100,euMonitoringSiteCode,SEVRE NIORTAISE À MAGNE,FRGR0559B,euSurfaceWaterBodyCode,LA SEVRE NIORTAISE DEPUIS NIORT JUSQU'A LA CONFLUENCE AVEC LA VENDEE,riverWaterBody,M9,FRG,euRBDCode,F,46.31503,-0.54191,85.772
FR,FRHR03149081,euMonitoringSiteCode,FRHR03149081,euMonitoringSiteCode,L'AISNE A ATTIGNY 1,FRHR199,euSurfaceWaterBodyCode,L AISNE DU CONFLUENT DE L AIRE  EXCLU  AU CONFLUENT DU RUISSEAU DE SAULCES  EXCLU,riverWaterBody,G9,FRH,euRBDCode,F,49.48012,4.57904,85.757
FR,FRHR03146890,euMonitoringSiteCode,FRHR03146890,euMonitoringSiteCode,L'AISNE A MOURON 1,FRHR199,euSurfaceWaterBodyCode,L AISNE DU CONFLUENT DE L AIRE  EXCLU  AU CONFLUENT DU RUISSEAU DE SAULCES  EXCLU,riverWaterBody,G9,FRH,euRBDCode,F,49.30778,4.78296,85.757
FR,FRFR05106000,euMonitoringSiteCode,FRFR05106000,euMonitoringSiteCode,MOUCHAN,FRFR220,euSurfaceWaterBodyCode,L'OSSE DU CONFLUENT DU LIZET AU CONFLUENT DE LA GELISE,riverWaterBody,P14,FRF,euRBDCode,F,43.90587,0.29349,85.721
FR,FRHR03015000,euMonitoringSiteCode,FRHR03015000,euMonitoringSiteCode,L'AUBE A VILLE-SOUS-LA-FERTE 1,FRHR14,euSurfaceWaterBodyCode,L AUBE DE SA SOURCE AU CONFLUENT DE L AUJON  EXCLU,riverWaterBody,P10,FRH,euRBDCode,F,48.14407,4.79547,85.496
FR,FRHR03014130,euMonitoringSiteCode,FRHR03014130,euMonitoringSiteCode,L'AUBE A AUBERIVE 3,FRHR14,euSurfaceWaterBodyCode,L AUBE DE SA SOURCE AU CONFLUENT DE L AUJON  EXCLU,riverWaterBody,P10,FRH,euRBDCode,F,47.77766,5.08042,85.496
FR,FRGR04091250,euMonitoringSiteCode,FRGR04091250,euMonitoringSiteCode,BOUZANNE À VELLES,FRGR0407,euSurfaceWaterBodyCode,LA BOUZANNE ET SES AFFLUENTS DEPUIS JEU-LES-BOIS JUSQU'A LA CONFLUENCE AVEC LA CREUSE,riverWaterBody,P9,FRG,euRBDCode,F,46.68593,1.63636,85.173
FR,FRGR04192550,euMonitoringSiteCode,FRGR04192550,euMonitoringSiteCode,SARRE À MELRAND,FRGR0100,euSurfaceWaterBodyCode,LA SARRE ET SES AFFLUENTS DEPUIS L'ETANG-DU-ROZ JUSQU'A LA CONFLUENCE AVEC LE BLAVET,riverWaterBody,P12-B,FRG,euRBDCode,F,48.00797,-3.12892,84.926
FR,FRGR04115500,euMonitoringSiteCode,FRGR04115500,euMonitoringSiteCode,RAU DE L'ANTONNIERE À SAINT-SATURNIN,FRGR0473,euSurfaceWaterBodyCode,L'ANTONNIERE ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A LA CONFLUENCE AVEC LA SARTHE,riverWaterBody,P9,FRG,euRBDCode,F,48.06165,0.15665,84.875
FR,FRGR04103500,euMonitoringSiteCode,FRGR04103500,euMonitoringSiteCode,AUTHION OU CHANGEON À SAINT-NICOLAS-DE-BOURGUEIL,FRGR0450,euSurfaceWaterBodyCode,L'AUTHION ET SES AFFLUENTS DEPUIS LA SOURCE JUSQU'A BRAIN-SUR-ALLONNES,riverWaterBody,P9,FRG,euRBDCode,F,47.27528,0.11209,84.628
